ID,Name,Brand,Category,Variant,Video reference,Playground status,Pending reason
joker-raccoon,Joker,Raccoon,200g Cakes,200 gram · 20 shots,https://www.youtube.com/watch?v=5gunJrX6dQc,Not available,Video not inspected in this batch; no effect profile inferred.
let-freedom-ring-24-pack,Let Freedom Ring,Raccoon,Reloadables,5-inch shells · 24 shells,https://www.youtube.com/watch?v=q6wcbHeNBqo,Not available,Video not inspected in this batch; no effect profile inferred.
neon-celebration,Neon Celebration,Raccoon,500g Cakes,500 gram · 60 shots,https://www.youtube.com/watch?v=JKspqiO_2Ag,Not available,Video not inspected in this batch; no effect profile inferred.
sky-painter-fountain,Sky Painter,Monkey Mania,Fountains,,https://www.youtube.com/watch?v=Re0a-0BOEYg,Not available,Video not inspected in this batch; no effect profile inferred.
sniper-fire-12-pack,Sniper Fire,Raccoon,Reloadables,4-inch shells · 12 shells,https://www.youtube.com/watch?v=66butJ3I7Tw,Not available,Video not inspected in this batch; no effect profile inferred.
tiger-force-24-pack,Tiger Force,Raccoon,Reloadables,6-inch shells · 24 shells,https://www.youtube.com/watch?v=EZrkTwF0GgQ,Not available,Video not inspected in this batch; no effect profile inferred.
mini-artillery-12-pack,1-inch Mini Artillery Shells,Cutting Edge,Artillery Shells,1-inch shells · 12-pack,,Not available,No approved video in the current catalog; reference needed.
2-minutes-extravaganza,2 Minutes Extravaganza,TNT,Cakes - Size Unconfirmed,,https://www.youtube.com/watch?v=Mz9Fq2UKTfU,Not available,Video not inspected in this batch; no effect profile inferred.
whistling-buster-6-pack,Whistling Buster,T-Sky,Artillery Shells,6 shells · 1 tube,,Not available,No approved video in the current catalog; reference needed.
america-enduring,America Enduring,Sky Bacon,Fountains,,https://www.youtube.com/watch?v=AuuWxMWy1kQ,Not available,Video not inspected in this batch; no effect profile inferred.
american-pride-fountain,American Pride,World-Class,Fountains,,https://www.youtube.com/watch?v=M8g-kGHj9bA,Not available,Video not inspected in this batch; no effect profile inferred.
american-wildcard,American Wildcard,Brothers,200g Cakes,49 shots · 200 gram,https://www.youtube.com/watch?v=QMXEm96HtVE,Not available,Video not inspected in this batch; no effect profile inferred.
armadillo-fountain,Armadillo,Cutting Edge,Fountains,,https://www.youtube.com/watch?v=DPgiUt7FJCY,Not available,Video not inspected in this batch; no effect profile inferred.
citrus-fountain,Citrus,Black Cat,Fountains,,https://www.youtube.com/watch?v=iziTm6Kz5EY,Not available,Video not inspected in this batch; no effect profile inferred.
daytime-reveal-pink,Daytime Reveal Pink,Sky Bacon,200g Cakes,16 shots · Pink smoke,https://www.youtube.com/watch?v=vfHbwYme_jE,Not available,Video not inspected in this batch; no effect profile inferred.
excalibur-24-pack,Excalibur,World-Class,Artillery Shells,4-inch shells · 24-pack,https://www.youtube.com/watch?v=JMnZhWxQXsQ,Not available,Video not inspected in this batch; no effect profile inferred.
hot-dog,Hot Dog,World-Class,200g Cakes,16 shots · 200 gram,https://www.youtube.com/watch?v=TcKkLNEQ-hE,Not available,Video not inspected in this batch; no effect profile inferred.
howler-fountain,Howler,Cutting Edge,Fountains,,https://www.youtube.com/watch?v=H3wzaUcduE0,Not available,Video not inspected in this batch; no effect profile inferred.
killer-bees-4-pack,Killer Bees,Sky Bacon,Fountains,4-pack,,Not available,No approved video in the current catalog; reference needed.
mexican-jumping-beans,Mexican Jumping Beans,Red Rhino,Fountains,,https://www.youtube.com/watch?v=YwVN6LjTX6M,Not available,Video not inspected in this batch; no effect profile inferred.
nishiki-blast-6-pack,Nishiki Blast,Raccoon,Artillery Shells,5-inch shells · 6-pack,https://www.youtube.com/watch?v=K8poHnGn55w,Not available,Video not inspected in this batch; no effect profile inferred.
one-bad-mother-in-law,One Bad Mother-In-Law,World-Class,500g Cakes,16 shots · 500 gram,https://www.youtube.com/watch?v=RCZOKivGERU,Not available,Video not inspected in this batch; no effect profile inferred.
pizza-platter,Pizza Platter,Winda,Cake Packs,6 cakes · 15 shots per cake,https://www.youtube.com/watch?v=dKCirafSi6s,Not available,Video not inspected in this batch; no effect profile inferred.
raccoon-5-inch-24-pack,Raccoon 5-inch Canister Shells,Raccoon,Artillery Shells,5-inch shells · 24-pack,https://www.youtube.com/watch?v=VNKj9MZJL5k,Not available,Video not inspected in this batch; no effect profile inferred.
super-cakes-4-pack,Super Cakes,Happy Family,Cake Packs,4 cakes,https://www.youtube.com/watch?v=Pd_OvuU93nQ,Not available,Video not inspected in this batch; no effect profile inferred.
super-magnum-12-pack,Super Magnum,World-Class,Artillery Shells,12 shells,https://www.youtube.com/watch?v=PTpKiwHiKUE,Not available,Video not inspected in this batch; no effect profile inferred.
united-we-stand-48-pack,United We Stand,World-Class,Artillery Shells,48 shells · 84 breaks,https://www.youtube.com/watch?v=FpmloMND3wY,Not available,Video not inspected in this batch; no effect profile inferred.
vertical-limit,Vertical Limit,Cutting Edge,200g Cakes,16 shots · 200 gram,https://www.youtube.com/watch?v=vbqaM8cz2ZE,Not available,Video not inspected in this batch; no effect profile inferred.
viva-mexico,Viva Mexico,Sky Bacon,500g Cakes,19 shots · 500 gram,https://www.youtube.com/watch?v=4DyNqNq3Rtk,Not available,Video not inspected in this batch; no effect profile inferred.
watermelon-ninja,Watermelon Ninja,Sky Bacon,Fountains,,https://www.youtube.com/watch?v=W-DZEcV-t9A,Not available,Video not inspected in this batch; no effect profile inferred.
whats-that,What's That!?!,Sky Bacon,500g Cakes,Cake and girandola,https://www.youtube.com/watch?v=L2WsPuS3AI8,Not available,Video not inspected in this batch; no effect profile inferred.
frog-princess,Frog Princess,World-Class,Fountains,Pink frog fountain,,Not available,No approved video in the current catalog; reference needed.
frog-prince,Frog Prince,World-Class,Fountains,Green frog fountain,https://www.youtube.com/watch?v=X0bY7OMXY8c,Not available,Video not inspected in this batch; no effect profile inferred.
goliath-36-shells,Goliath,World-Class,Artillery Shells,36 shells,https://www.youtube.com/watch?v=CogXasWVe_o,Not available,Video not inspected in this batch; no effect profile inferred.
hoot-hoot-hooray,Hoot Hoot Hooray!,Winda,Fountains,,https://www.youtube.com/watch?v=sXjHknnfVe8,Not available,Video not inspected in this batch; no effect profile inferred.
openfire,Openfire,Brothers,500g Cakes,33 shots · 500 gram,https://www.youtube.com/watch?v=_0OpXDqUtwE,Not available,Video not inspected in this batch; no effect profile inferred.
pure-fantasy,Pure Fantasy,Brothers,Fountains,,https://www.youtube.com/watch?v=9adEvQcSx94,Not available,Video not inspected in this batch; no effect profile inferred.
super-sword,Super Sword,Brothers,Fountains,Handheld fountain,https://www.youtube.com/watch?v=O5VoX2zvR6Y,Not available,Video not inspected in this batch; no effect profile inferred.
goal-fountain,Goal,Fox,Fountains,Soccer ball fountain,https://www.youtube.com/watch?v=cQsqb_xLJFQ,Not available,Video not inspected in this batch; no effect profile inferred.
silent-treatment,Silent Treatment,Fox,Fountains,,https://www.youtube.com/watch?v=ciS1thBdyeI,Not available,Video not inspected in this batch; no effect profile inferred.
black-cat-combo-cakes,Black Cat Combo Cakes,Black Cat,Cake Packs,4 cakes · 15 shots per cake,,Not available,No approved video in the current catalog; reference needed.
dragon-fire-black-cat,Dragon Fire,Black Cat,Fountains,Dragon-shaped novelty fountain,,Not available,No approved video in the current catalog; reference needed.
hot-sauce,Hot Sauce,Black Cat,Fountains,,https://www.youtube.com/watch?v=BqfC6CGzjOU,Not available,Video not inspected in this batch; no effect profile inferred.
dreams-from-heaven,Dreams from Heaven,Raccoon,200g Cakes,200 gram · 25 shots,https://www.youtube.com/watch?v=ro7nIqMhvx0,Not available,Video not inspected in this batch; no effect profile inferred.
pirate-captain,Pirate Captain,Raccoon,200g Cakes,200 gram · 21 shots,https://www.youtube.com/watch?v=SRH8mSodlK8,Not available,Video not inspected in this batch; no effect profile inferred.
ring-of-honor-6-pack,Ring of Honor,Raccoon,Artillery Shells,5-inch shells · 6-pack,,Not available,No approved video in the current catalog; reference needed.
